SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
PUE,Mexicana,F,P5,NEG,H15903,Puebla,89.34,0,2023-11-15T00:00:00.000Z,0,Puebla,17.0,Solicitud,43.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,P5,ICT,H13819,Ciudad de México,95.36,1371,2023-09-27T00:00:00.000Z,1,Santa Fe,17.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,F,P5,LEM,H13819,Ciudad de México,86.75,0,2023-10-26T00:00:00.000Z,1,Santa Fe,17.0,Base de datos,19.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,F,P5,ARQ,H00158,Querétaro,91.25,1317,2023-10-07T00:00:00.000Z,1,Querétaro,18.0,Solicitud,44.0,0.0,0.0,1.0,0.0,Artistico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
CSF,Mexicana,M,O5,NEG,H00167,Hidalgo,89.26,1248,2023-10-16T00:00:00.000Z,1,Hidalgo,17.0,Solicitud,39.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,P5,MC,H00177,Jalisco,94.5,1334,2023-11-24T00:00:00.000Z,1,Guadalajara,18.0,Solicitud,45.0,0.0,0.0,1.0,0.0,Liderazgo,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
CEM,Mexicana,M,P5,IIT,H00168,Estado de México,91.36,1204,2023-09-28T00:00:00.000Z,1,Estado de México,18.0,Base de datos,39.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CSF,Mexicana,F,O5,LDI,H00168,Estado de México,96.96,1342,2023-12-04T00:00:00.000Z,0,Estado de México,18.0,Solicitud,42.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,P5,IM,H00165,Ciudad de México,99.25,1493,2023-11-09T00:00:00.000Z,1,Ciudad de México,18.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,P5,IIT,H13917,Nuevo León,89.5,0,2023-09-28T00:00:00.000Z,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,F,P5,LC,H00158,Querétaro,97.29,1480,2023-09-26T00:00:00.000Z,1,Querétaro,18.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,P5,ITD,H00177,Jalisco,89.86,1382,2023-09-14T00:00:00.000Z,1,Guadalajara,18.0,Base de datos,42.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HGO,Mexicana,F,P5,ARQ,H00167,Hidalgo,94.48,0,2023-10-25T00:00:00.000Z,1,Hidalgo,17.0,Base de datos,29.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
